id,vehicle_id,date,liters,amount,odometer_km
1,1,2025-08-21,75.29,7243.76,50434.0
2,1,2025-08-23,282.36,27662.72,52307.0
3,1,2025-08-23,184.53,17969.12,53405.0
4,1,2025-08-25,182.44,17918.57,54538.0
5,1,2025-08-28,190.33,17389.36,55645.0
6,1,2025-08-29,305.6,29807.81,57484.0
7,1,2025-08-30,180.68,17604.17,58583.0
8,1,2025-09-02,177.85,16566.21,59724.0
9,1,2025-09-03,171.44,16489.34,60858.0
10,1,2025-09-04,175.33,17082.42,62034.0
11,1,2025-09-09,169.96,16445.87,63128.0
12,1,2025-09-11,185.63,18185.47,64292.0
13,1,2025-09-13,181.11,17141.52,65460.0
14,1,2025-09-15,282.22,27366.47,67255.0
15,1,2025-09-18,178.06,17164.78,68367.0
16,1,2025-09-18,171.25,16648.53,69453.0
17,1,2025-09-21,269.68,24618.83,71224.0
18,1,2025-09-23,193.26,17838.14,72375.0
19,1,2025-09-25,67.33,6207.93,72827.0
20,1,2025-09-26,322.65,30500.09,74690.0
21,1,2025-09-27,378.15,37085.48,77198.0
22,1,2025-09-27,277.48,27037.21,78971.0
23,1,2025-10-01,192.58,18884.51,80080.0
24,1,2025-10-03,189.24,17988.38,81207.0
25,1,2025-10-06,315.66,29128.0,83057.0
26,1,2025-10-09,69.55,6552.35,83496.0
27,1,2025-10-11,182.2,17366.06,84654.0
28,1,2025-10-13,198.25,19278.34,85807.0
29,1,2025-10-15,178.64,17022.93,86933.0
30,1,2025-10-16,424.67,39321.82,89376.0
31,1,2025-10-16,364.49,34425.63,91807.0
32,1,2025-10-17,403.72,36652.35,94301.0
33,1,2025-10-18,296.67,28857.51,96117.0
34,1,2025-10-21,177.51,16169.08,97259.0
35,1,2025-10-21,177.72,16367.7,98416.0
36,1,2025-10-23,174.45,15866.86,99550.0
37,1,2025-10-27,181.29,17179.59,100704.0
38,1,2025-10-28,294.53,28683.11,102592.0
39,1,2025-10-30,289.76,27712.91,104354.0
40,1,2025-11-03,398.14,37924.2,106835.0
41,1,2025-11-05,307.46,29038.41,108643.0
42,1,2025-11-06,402.61,39231.76,111129.0
43,1,2025-11-07,305.39,28975.3,112968.0
44,1,2025-11-09,187.44,17509.31,114087.0
45,1,2025-11-10,278.28,26863.86,115895.0
46,1,2025-11-12,77.05,7551.33,116353.0
47,1,2025-11-13,183.39,16865.98,117486.0
48,1,2025-11-14,70.33,6668.84,117927.0
49,1,2025-11-16,294.49,27805.23,119739.0
50,1,2025-11-18,77.57,7530.39,120193.0
51,1,2025-11-21,171.16,15838.48,121318.0
52,1,2025-11-24,270.67,25976.82,123131.0
53,1,2025-11-27,181.54,16968.95,124303.0
54,1,2025-11-28,180.75,17625.29,125439.0
55,1,2025-11-29,286.32,27572.61,127210.0
56,1,2025-11-30,170.78,15791.67,128341.0
57,1,2025-11-30,279.43,26195.61,130183.0
58,1,2025-12-02,290.04,27069.39,131993.0
59,1,2025-12-03,178.75,16866.01,133088.0
60,1,2025-12-05,270.6,25282.31,134874.0
61,1,2025-12-08,65.9,6029.54,135318.0
62,1,2025-12-12,173.23,15819.41,136436.0
63,1,2025-12-14,68.77,6297.23,136885.0
64,1,2025-12-14,186.1,17872.43,138002.0
65,1,2025-12-16,67.17,6367.15,138449.0
66,1,2025-12-16,173.01,16201.0,139594.0
67,1,2025-12-20,307.8,29965.52,141399.0
68,1,2025-12-21,371.85,35442.07,143866.0
69,1,2025-12-25,292.81,26612.77,145612.0
70,1,2025-12-27,273.02,26232.15,147349.0
71,1,2025-12-29,185.33,17304.19,148521.0
72,1,2025-12-29,279.65,26211.84,150349.0
73,1,2025-12-30,280.64,27057.46,152124.0
74,1,2025-12-30,73.22,6692.41,152578.0
75,1,2026-01-01,193.6,17853.33,153722.0
76,1,2026-01-02,404.44,37653.06,156177.0
77,1,2026-01-03,196.12,18317.43,157329.0
78,1,2026-01-05,429.43,39050.77,159874.0
79,1,2026-01-06,78.77,7652.87,160327.0
80,1,2026-01-08,415.61,39003.66,162863.0
81,1,2026-01-10,276.57,26712.03,164679.0
82,1,2026-01-14,190.52,17825.71,165778.0
83,1,2026-01-14,309.54,29689.31,167579.0
84,1,2026-01-19,412.69,39707.19,170077.0
85,1,2026-01-20,419.67,40620.08,172582.0
86,1,2026-01-23,307.37,28422.99,174401.0
87,1,2026-01-24,409.39,39847.41,176876.0
88,1,2026-01-27,189.69,18113.8,177992.0
89,1,2026-01-29,190.71,18145.39,179090.0
90,1,2026-01-31,171.32,16469.97,180239.0
91,1,2026-02-01,288.83,28209.11,182057.0
92,1,2026-02-03,280.49,25686.4,183936.0
93,1,2026-02-03,180.24,17296.33,185070.0
94,1,2026-02-05,310.0,29889.6,186888.0
95,1,2026-02-06,175.59,17012.94,188024.0
96,1,2026-02-07,297.91,27451.55,189853.0
