id,vehicle_id,date,maintenance_type,amount,downtime_days
1,1,2026-03-24,breakdown,32755.77,2.1
2,1,2026-02-18,scheduled,19094.57,0.9
3,1,2025-09-23,tyre,26798.6,0.0
4,1,2025-10-21,scheduled,14234.72,0.4
5,1,2025-09-24,scheduled,10894.81,1.0
6,1,2026-05-03,scheduled,20319.87,0.9
7,2,2026-06-06,breakdown,50971.62,3.8
8,2,2025-08-27,engine,107189.8,4.2
9,2,2025-12-16,tyre,36596.69,0.0
10,2,2026-03-11,breakdown,45886.19,1.7
11,2,2026-06-05,breakdown,68729.88,1.4
12,2,2026-01-03,scheduled,27239.27,0.5
13,2,2025-11-30,scheduled,27851.25,0.7
14,2,2025-09-13,breakdown,39873.54,2.6
15,3,2025-12-08,scheduled,9402.0,0.6
16,3,2025-09-29,scheduled,20147.69,0.3
17,3,2026-06-19,tyre,16993.25,0.0
18,3,2026-02-22,scheduled,7446.96,0.8
19,3,2025-11-07,scheduled,22177.79,0.4
20,4,2026-07-31,breakdown,44264.68,1.3
21,4,2025-09-03,scheduled,24425.19,0.7
22,4,2026-07-28,tyre,33517.87,0.0
23,4,2025-09-17,tyre,20951.08,0.0
24,4,2026-07-23,scheduled,25068.9,0.7
25,4,2026-08-07,tyre,26325.45,0.0
26,4,2025-11-08,scheduled,25373.28,0.6
27,5,2026-06-28,scheduled,15019.49,0.5
28,5,2025-08-23,breakdown,32652.48,4.7
29,5,2025-11-10,breakdown,31969.26,2.6
30,5,2026-02-04,tyre,15101.8,0.0
31,5,2025-11-13,scheduled,13407.74,0.7
32,5,2025-11-03,scheduled,10911.47,0.5
33,6,2026-02-04,tyre,31695.41,0.0
34,6,2026-01-23,breakdown,27167.95,2.0
35,6,2026-06-27,tyre,32660.87,0.0
36,6,2026-04-17,scheduled,8217.89,0.8
37,6,2026-07-13,scheduled,17869.67,0.4
38,6,2026-03-22,tyre,36297.24,0.0
39,7,2026-01-20,scheduled,14008.45,1.0
40,7,2026-03-02,breakdown,43180.11,3.2
41,7,2026-05-14,scheduled,16536.61,0.7
42,7,2025-11-15,engine,144264.66,3.5
43,7,2025-08-30,engine,110407.09,4.9
44,7,2026-07-05,breakdown,67778.84,3.6
45,7,2026-02-02,scheduled,24270.3,0.7
46,8,2025-09-14,engine,89004.85,2.2
47,8,2025-10-11,engine,88798.69,3.6
48,8,2025-11-26,scheduled,10333.65,0.5
49,8,2026-07-17,breakdown,67267.16,4.2
50,8,2025-12-25,breakdown,60548.71,4.9
51,8,2025-11-09,breakdown,24572.64,4.1
52,8,2025-10-09,engine,64391.96,2.5
53,8,2025-08-24,tyre,23801.61,0.0
54,8,2025-09-27,scheduled,11821.68,0.4
55,8,2026-08-07,scheduled,26890.62,0.7
56,8,2026-05-31,breakdown,45707.7,1.0
57,8,2025-10-22,scheduled,19819.61,0.4
58,9,2025-10-17,scheduled,14182.13,0.4
59,9,2025-12-24,breakdown,52325.25,4.6
60,9,2026-03-13,breakdown,44072.67,3.5
61,9,2026-08-09,breakdown,19366.76,3.8
62,10,2025-09-30,breakdown,59497.88,4.0
63,10,2025-12-07,scheduled,14103.35,1.0
64,10,2026-05-19,tyre,36973.37,0.0
65,10,2026-04-24,scheduled,11952.58,0.9
66,10,2026-04-30,scheduled,9421.15,0.5
