id,transaction_type,transaction_date,account,vehicle_id,customer_id,amount,description
1,revenue,2025-08-28,Revenue - Transport Services,1,1,101381.69,Revenue 2025-08 | BUS-101 | ABC Logistics Pvt Ltd
2,revenue,2025-08-28,Revenue - Transport Services,1,7,120302.87,Revenue 2025-08 | BUS-101 | PQR Infrastructure
3,revenue,2025-09-28,Revenue - Transport Services,1,7,280939.03,Revenue 2025-09 | BUS-101 | PQR Infrastructure
4,revenue,2025-08-28,Revenue - Transport Services,1,2,89536.36,Revenue 2025-08 | BUS-101 | XYZ Manufacturing Ltd
5,revenue,2025-08-28,Revenue - Transport Services,1,4,135015.49,Revenue 2025-08 | BUS-101 | GHI Travels & Tours
6,revenue,2025-09-28,Revenue - Transport Services,1,4,372805.08,Revenue 2025-09 | BUS-101 | GHI Travels & Tours
7,revenue,2025-09-28,Revenue - Transport Services,1,6,68770.62,Revenue 2025-09 | BUS-101 | MNO Textiles
8,revenue,2025-08-28,Revenue - Transport Services,1,6,59470.68,Revenue 2025-08 | BUS-101 | MNO Textiles
9,revenue,2025-08-28,Revenue - Transport Services,1,3,142415.48,Revenue 2025-08 | BUS-101 | DEF Industries
10,revenue,2025-09-28,Revenue - Transport Services,1,2,115283.09,Revenue 2025-09 | BUS-101 | XYZ Manufacturing Ltd
11,revenue,2025-08-28,Revenue - Transport Services,1,5,34981.67,Revenue 2025-08 | BUS-101 | JKL Pharma Ltd
12,revenue,2025-09-28,Revenue - Transport Services,1,3,195213.08,Revenue 2025-09 | BUS-101 | DEF Industries
13,revenue,2025-09-28,Revenue - Transport Services,1,5,131833.24,Revenue 2025-09 | BUS-101 | JKL Pharma Ltd
14,revenue,2025-09-28,Revenue - Transport Services,1,1,123815.06,Revenue 2025-09 | BUS-101 | ABC Logistics Pvt Ltd
15,revenue,2025-09-28,Revenue - Transport Services,1,8,201121.68,Revenue 2025-09 | BUS-101 | STU Exports Ltd
