vehicle_number,registration_number,vehicle_type,capacity,branch_id,status,purchase_date,purchase_value,fuel_type
BUS-101,MH-01-AB-1101,BUS,50,MUMBAI,active,2021-03-15,3200000,diesel
BUS-102,MH-01-AB-1102,BUS,50,MUMBAI,active,2020-07-10,3000000,diesel
BUS-103,MH-01-AB-1103,BUS,52,MUMBAI,active,2022-01-20,3500000,diesel
BUS-104,DL-02-CD-2204,BUS,45,DELHI,active,2021-11-05,3100000,diesel
BUS-105,DL-02-CD-2205,BUS,45,DELHI,active,2019-06-12,2800000,diesel
TRK-101,MH-04-EF-3301,TRUCK,12,MUMBAI,active,2020-09-25,4500000,diesel
TRK-102,MH-04-EF-3302,TRUCK,15,MUMBAI,active,2021-08-14,5000000,diesel
TRK-103,KA-05-GH-4401,TRUCK,10,BANGALORE,active,2019-03-30,4000000,diesel
VAN-101,MH-01-IJ-5501,VAN,12,MUMBAI,active,2022-06-01,1200000,diesel
VAN-102,DL-02-IJ-5502,VAN,12,DELHI,active,2021-04-18,1100000,diesel
